Timestamp,Step,Outdoor_Temp,Zone0_Temp_C,Zone0_Alloc_Prop,Zone0_Alloc_Watts,Zone1_Temp_C,Zone1_Alloc_Prop,Zone1_Alloc_Watts,Zone2_Temp_C,Zone2_Alloc_Prop,Zone2_Alloc_Watts,Total_Cooling_Need_W,RL_Action_Disc,XAI_Rule_Check,Forecast_h1,Forecast_h2,Forecast_h3,Forecast_h4,Forecast_h5,Forecast_h6
2016-05-24 16:00:00,1,30.0,23.644828324149508,0.33332915121001594,0.0,22.444973095697847,0.33333872176676604,0.0,21.05009858731892,0.33333212702321796,0.0,0,0,"Rule: OK(Comfort) - Temp(22.4) in band, Minimal Action(OFF).",4183.083913091123,4085.1582688859103,3785.4938016498086,3589.8012686064835,3176.197244144678,2065.037609631866
2016-05-24 17:00:00,2,30.0,36.49084269749667,0.37410568473320566,2244.634108399234,25.39931605798018,0.31457680285043765,1887.460817102626,25.649168683749213,0.31131751241635675,1867.9050744981405,6000,3,"Rule: OK(Hot) - Temp(29.2)>ComfortHigh, Cooling(COOL_HIGH).",4084.7026334345337,3830.973063034713,3527.1575580778713,3265.189816932678,2095.4982610584793,985.2648672492801
2016-05-24 18:00:00,3,30.0,20.95235752997509,0.37410568473320566,0.0,21.320012610218573,0.31457680285043765,0.0,18.90673612193854,0.31131751241635675,0.0,0,0,"Rule: OK(Cold) - Temp(20.4)<ComfortLow, No Cooling(OFF).",3868.9289302161333,3671.7039424327013,3290.822141497135,2182.572812386751,1075.753539546728,1056.8144771195948
2016-05-24 19:00:00,4,26.7,34.65240296005397,0.37410568473320566,2244.634108399234,24.617505387696266,0.31457680285043765,1887.460817102626,24.548854645883317,0.31131751241635675,1867.9050744981405,6000,3,"Rule: OK(Hot) - Temp(27.9)>ComfortHigh, Cooling(COOL_HIGH).",3681.4124243751166,3274.5828008872268,2057.316211507767,1101.7052617950737,1146.2328715538977,1333.8029667660592
2016-05-24 20:00:00,5,26.1,18.650322102577416,0.37410568473320566,0.0,19.770071668451518,0.31457680285043765,0.0,16.73596432394644,0.31131751241635675,0.0,0,0,"Rule: OK(Cold) - Temp(18.4)<ComfortLow, No Cooling(OFF).",3301.4290630844234,2048.35458425194,1014.5964937791227,1059.677357186526,1354.1689405474065,1421.1025682938098
2016-05-24 21:00:00,6,26.7,31.84350544319104,0.37410568473320566,2244.634108399234,22.350719417201603,0.31457680285043765,1887.460817102626,21.536569204701642,0.31131751241635675,1867.9050744981405,6000,3,"Rule: OK(Hot) - Temp(25.2)>ComfortHigh, Cooling(COOL_HIGH).",1997.338257701993,781.9549699079989,1033.637199896127,1147.2518243855236,1323.8373564794658,1412.8212492989003
2016-05-24 22:00:00,7,27.8,16.732385304682328,0.37410568473320566,0.0,18.194729705904642,0.31457680285043765,0.0,15.189581007766154,0.31131751241635675,0.0,0,0,"Rule: OK(Cold) - Temp(16.7)<ComfortLow, No Cooling(OFF).",781.7099180418252,910.6460708127915,1100.1575856608151,1178.0127524058519,1259.865736556947,1298.8176615804432
2016-05-24 23:00:00,8,27.2,31.073150410483624,0.37410568473320566,1122.317054199617,21.774464092502924,0.31457680285043765,943.730408551313,21.57000967835812,0.31131751241635675,933.9525372490702,3000,2,"Rule: OK(Hot) - Temp(24.8)>ComfortHigh, Cooling(COOL_LOW).",674.6021250605583,1085.1124326102436,1080.1549125927686,1185.4562657392023,1291.9271503023801,1466.455278252959
2016-05-25 00:00:00,9,26.1,28.51989835346249,0.37410568473320566,0.0,21.013005019717507,0.31457680285043765,0.0,20.00177144976467,0.31131751241635675,0.0,0,0,"Rule: OK(Comfort) - Temp(23.2) in band, Minimal Action(OFF).",957.8280526980012,1158.119145029783,1287.9489571730792,1143.2096007634698,1550.1418743143975,3026.348279572725
2016-05-25 01:00:00,10,24.4,38.58252790932385,0.37410568473320566,2244.634108399234,23.214517363009005,0.31457680285043765,1887.460817102626,23.213100115147792,0.31131751241635675,1867.9050744981405,6000,3,"Rule: OK(Hot) - Temp(28.3)>ComfortHigh, Cooling(COOL_HIGH).",955.8955646239965,1194.8790634988247,1032.9648168238996,1411.9345087420938,3063.4104873818155,3900.37960124582
2016-05-25 02:00:00,11,22.8,20.604299267623297,0.37410568473320566,0.0,18.093465594481884,0.31457680285043765,0.0,14.930968245549593,0.31131751241635675,0.0,0,0,"Rule: OK(Cold) - Temp(17.9)<ComfortLow, No Cooling(OFF).",960.2107040692865,1096.0610178877412,1443.804459992498,3012.08696542263,3938.856014947891,3657.061967632174
2016-05-25 03:00:00,12,22.8,32.130961403989545,0.37410568473320566,1122.317054199617,20.178924994043633,0.31457680285043765,943.730408551313,19.004042662025896,0.31131751241635675,933.9525372490702,3000,2,,1027.6529276549816,1337.5401335218548,3038.7354752925035,3952.1688223880524,3674.9683653932807,3879.4228864154215
2016-05-25 04:00:00,13,21.7,27.846533617853368,0.37410568473320566,0.0,18.56201343869719,0.31457680285043765,0.0,16.543288468203546,0.31131751241635675,0.0,0,0,,1430.3244688099621,3158.0450397375225,3799.272308273017,3821.596935830712,3927.336061304807,4099.578338403106
2016-05-25 05:00:00,14,21.1,36.72710308979938,0.37410568473320566,2244.634108399234,20.16901434143605,0.31457680285043765,1887.460817102626,19.296436185929494,0.31131751241635675,1867.9050744981405,6000,3,"Rule: OK(Hot) - Temp(25.4)>ComfortHigh, Cooling(COOL_HIGH).",2998.71578833878,3714.1047082996365,3721.666093090176,3921.595205573439,4050.092453846931,4109.875548648238
