#{"t_start": 1744544899.713548, "env_id": "None"}
r,l,t
-22512.0,3942,178.700196
-21810.4,5220,578.589787
-19950.6,4737,999.196413
-17869.2,4353,1469.367552
-22373.8,5245,1957.191442
-18165.9,4409,2387.586728
